"","lat","Shannon","biome"
"1",35.5,65.4707561285681,"Inter-Mountain Semi-Desert"
"2",36,22.8560097629376,"Inter-Mountain Semi-Desert"
"3",36.5,163.002675816295,"Inter-Mountain Semi-Desert"
"4",37,110.364218777449,"Inter-Mountain Semi-Desert"
"5",37.5,80.7910847809153,"Inter-Mountain Semi-Desert"
"6",38,258.982957652519,"Inter-Mountain Semi-Desert"
"7",38.5,169.588551087138,"Inter-Mountain Semi-Desert"
"8",39,239.127539121774,"Inter-Mountain Semi-Desert"
"9",39.5,276.017126566116,"Inter-Mountain Semi-Desert"
"10",40,147.062165391713,"Inter-Mountain Semi-Desert"
"11",40.5,71.474667569457,"Inter-Mountain Semi-Desert"
"12",41,53.9191129564685,"Inter-Mountain Semi-Desert"
"13",41.5,5.74624820163308,"Inter-Mountain Semi-Desert"
"14",38.5,83.7036570916417,"Inter-Mountain Semi-Desert"
"15",39,126.102920103696,"Inter-Mountain Semi-Desert"
"16",39.5,56.9378056736458,"Inter-Mountain Semi-Desert"
"17",40,46.5839943074663,"Inter-Mountain Semi-Desert"
"18",40.5,93.9199582245411,"Inter-Mountain Semi-Desert"
"19",41,48.3447175384504,"Inter-Mountain Semi-Desert"
"20",41.5,50.5074921767313,"Inter-Mountain Semi-Desert"
"21",42,16.4202159723504,"Inter-Mountain Semi-Desert"
"22",37.5,10.9781630153572,"Inter-Mountain Semi-Desert"
"23",32.5,130.623524042604,"Southwest Plateau"
"24",33,112.350706660339,"Southwest Plateau"
"25",33.5,94.1389036528434,"Southwest Plateau"
"26",34,17.7299633409605,"Southwest Plateau"
"27",34.5,82.503501049274,"Southwest Plateau"
"28",35,78.0461693368276,"Southwest Plateau"
"29",35.5,50.6096816944676,"Southwest Plateau"
"30",30.5,283.153801804617,"Southwest Plateau"
"31",31,166.199617666858,"Southwest Plateau"
"32",31.5,230.124410162973,"Southwest Plateau"
"33",32,267.308196079528,"Southwest Plateau"
"34",32.5,200.747296511263,"Southwest Plateau"
"35",33,188.671810675742,"Southwest Plateau"
"36",33.5,174.433954466399,"Southwest Plateau"
"37",34,194.752768709753,"Southwest Plateau"
"38",34.5,184.699424080092,"Southwest Plateau"
"39",35,128.836747682886,"Southwest Plateau"
"40",35.5,154.990939554525,"Southwest Plateau"
"41",36,175.14695758538,"Southwest Plateau"
"42",36.5,44.1142215022492,"Southwest Plateau"
"43",31.5,179.640429723048,"Chihuahuan Semi-Desert"
"44",32,241.776345729793,"Chihuahuan Semi-Desert"
"45",32.5,117.848689196834,"Chihuahuan Semi-Desert"
"46",33,160.080940696265,"Chihuahuan Semi-Desert"
"47",33.5,39.3789199788513,"Chihuahuan Semi-Desert"
"48",31.5,48.1737300568748,"Chihuahuan Semi-Desert"
"49",32,25.9612357658094,"Chihuahuan Semi-Desert"
"50",32.5,89.9610521867078,"Chihuahuan Semi-Desert"
"51",33,36.3666152569688,"Chihuahuan Semi-Desert"
"52",30.5,198.973065291795,"Chihuahuan Semi-Desert"
"53",31,112.182883679447,"Chihuahuan Semi-Desert"
"54",31.5,31.6374817266825,"Chihuahuan Semi-Desert"
"55",32,51.3003063571941,"Chihuahuan Semi-Desert"
"56",32.5,7.07546074896643,"Chihuahuan Semi-Desert"
"57",33.5,80.0154952287371,"Colorado Plateau Semi-Arid Desert"
"58",34,90.751318866201,"Colorado Plateau Semi-Arid Desert"
"59",34.5,158.959865141167,"Colorado Plateau Semi-Arid Desert"
"60",35,261.608020069272,"Colorado Plateau Semi-Arid Desert"
"61",35.5,126.692541757345,"Colorado Plateau Semi-Arid Desert"
"62",36,119.203757959006,"Colorado Plateau Semi-Arid Desert"
"63",36.5,187.15926618214,"Colorado Plateau Semi-Arid Desert"
"64",37,144.789457013021,"Colorado Plateau Semi-Arid Desert"
