"","lat","Shannon","biome"
"1",30.5,182.67396714227,"Mississippi River Forest"
"2",31,196.087251271761,"Mississippi River Forest"
"3",31.5,133.267418535527,"Mississippi River Forest"
"4",32,184.614093265354,"Mississippi River Forest"
"5",32.5,212.242018098519,"Mississippi River Forest"
"6",33,226.398172025392,"Mississippi River Forest"
"7",32.5,50.2511407940809,"Mississippi River Forest"
"8",33,46.7986285142582,"Mississippi River Forest"
"9",33.5,155.517849020768,"Mississippi River Forest"
"10",34,62.4501138373687,"Mississippi River Forest"
"11",34.5,61.7399331859119,"Mississippi River Forest"
"12",35,10,"Mississippi River Forest"
"13",33.5,152.145233503408,"Mississippi River Forest"
"14",34,125.049725644682,"Mississippi River Forest"
"15",34.5,149.141834455434,"Mississippi River Forest"
"16",35,335.949337436671,"Mississippi River Forest"
"17",35.5,180.105943081328,"Mississippi River Forest"
"18",36,247.876359226753,"Mississippi River Forest"
"19",36.5,179.445088978624,"Mississippi River Forest"
"20",37,151.107926914407,"Mississippi River Forest"
"21",37.5,108.885723876457,"Mississippi River Forest"
"22",35.5,144.441723906511,"Mississippi River Forest"
"23",36,60.0508630725974,"Mississippi River Forest"
"24",36.5,81.3415698582415,"Mississippi River Forest"
"25",37,18.7636838770079,"Mississippi River Forest"
"26",32,370.245076925095,"Mixed Forest"
"27",32.5,437.252518691362,"Mixed Forest"
"28",33,334.553045614466,"Mixed Forest"
"29",33.5,388.470484918365,"Mixed Forest"
"30",34,380.361652003164,"Mixed Forest"
"31",34.5,393.794299873573,"Mixed Forest"
"32",33.5,253.364453916513,"Mixed Forest"
"33",34,314.301781283158,"Mixed Forest"
"34",35.5,430.654446211371,"Mixed Forest"
"35",36,213.410217992395,"Mixed Forest"
"36",32,26.6474642842972,"Mixed Forest"
"37",32.5,161.709428685192,"Mixed Forest"
"38",30.5,242.259475930087,"Mixed Forest"
"39",32,27.0324163010241,"Mixed Forest"
"40",32.5,205.496696983888,"Mixed Forest"
"41",33,329.24861763984,"Mixed Forest"
"42",33.5,249.474050454671,"Mixed Forest"
"43",35,361.971744969461,"Mixed Forest"
"44",35.5,426.894616243572,"Mixed Forest"
"45",36,328.592917349933,"Mixed Forest"
"46",36.5,353.98026374665,"Mixed Forest"
"47",37,69.001857428797,"Mixed Forest"
"48",37,306.788037918411,"Mixed Forest"
"49",37.5,307.557202591961,"Mixed Forest"
"50",38,346.220464306075,"Mixed Forest"
"51",38.5,329.479443279285,"Mixed Forest"
"52",33.5,124.931974995993,"Mixed Forest"
"53",34,216.484240029943,"Mixed Forest"
"54",34.5,257.227460953656,"Mixed Forest"
"55",35,173.649270789741,"Mixed Forest"
"56",31.5,294.932586635673,"Mixed Forest"
"57",32,230.625812285224,"Mixed Forest"
"58",32.5,383.27982352072,"Mixed Forest"
"59",33,88.0048168112476,"Mixed Forest"
"60",38.5,76.0630027706233,"Coastal Mixed Forest"
"61",39,238.014536206893,"Coastal Mixed Forest"
"62",39.5,159.966075376174,"Coastal Mixed Forest"
"63",38.5,311.020692404324,"Coastal Mixed Forest"
"64",39,360.013684361863,"Coastal Mixed Forest"
"65",39.5,301.977198382269,"Coastal Mixed Forest"
"66",40,25.0912890378987,"Coastal Mixed Forest"
"67",31,272.924876703451,"Coastal Mixed Forest"
"68",31.5,328.544421235402,"Coastal Mixed Forest"
"69",32,178.558932882804,"Coastal Mixed Forest"
"70",32.5,274.286017583484,"Coastal Mixed Forest"
"71",33,144.603923995175,"Coastal Mixed Forest"
"72",33.5,9.69750380495621,"Coastal Mixed Forest"
"73",37,282.813365807174,"Coastal Mixed Forest"
"74",37.5,252.449400802607,"Coastal Mixed Forest"
"75",38,255.616361199363,"Coastal Mixed Forest"
"76",38.5,169.998208151051,"Coastal Mixed Forest"
"77",39,306.517578611861,"Coastal Mixed Forest"
"78",39.5,45.3018895294202,"Coastal Mixed Forest"
"79",32.5,169.092629360525,"Coastal Mixed Forest"
"80",33,271.937907023324,"Coastal Mixed Forest"
"81",33.5,374.384532789086,"Coastal Mixed Forest"
"82",34,284.524636381384,"Coastal Mixed Forest"
"83",34.5,171.665710573356,"Coastal Mixed Forest"
"84",35,19.6584725915257,"Coastal Mixed Forest"
"85",34,99.4033512249693,"Coastal Mixed Forest"
"86",34.5,232.658717482409,"Coastal Mixed Forest"
"87",35,238.019945501363,"Coastal Mixed Forest"
"88",35.5,196.96194176918,"Coastal Mixed Forest"
"89",36,264.843818186229,"Coastal Mixed Forest"
"90",36.5,227.808818444722,"Coastal Mixed Forest"
"91",37,79.5552022311244,"Coastal Mixed Forest"
"92",30.5,261.151281022264,"Coastal Mixed Forest"
"93",31,419.156513909147,"Coastal Mixed Forest"
"94",31.5,433.330058497136,"Coastal Mixed Forest"
"95",32,51.8622631227053,"Coastal Mixed Forest"
"96",30.5,408.419043979038,"Coastal Mixed Forest"
"97",31,330.630951465229,"Coastal Mixed Forest"
"98",31.5,343.137890832621,"Coastal Mixed Forest"
"99",32,104.762416764929,"Coastal Mixed Forest"
"100",30.5,282.530954710364,"Coastal Mixed Forest"
"101",31,292.164442680032,"Coastal Mixed Forest"
"102",31.5,217.706164177261,"Coastal Mixed Forest"
"103",32,211.721399971248,"Coastal Mixed Forest"
"104",32.5,40.9717706035214,"Coastal Mixed Forest"
"105",40,342.646479256963,"Eastern Broadleaf Forest"
"106",40.5,332.58544752277,"Eastern Broadleaf Forest"
"107",41,314.281613107992,"Eastern Broadleaf Forest"
"108",41.5,348.745979666135,"Eastern Broadleaf Forest"
"109",42,298.242771623027,"Eastern Broadleaf Forest"
"110",42.5,255.514320164495,"Eastern Broadleaf Forest"
"111",42.5,274.384674671917,"Eastern Broadleaf Forest"
"112",43,288.33412249999,"Eastern Broadleaf Forest"
"113",35,204.158846665925,"Eastern Broadleaf Forest"
"114",35.5,349.341157374267,"Eastern Broadleaf Forest"
"115",36,398.700507678478,"Eastern Broadleaf Forest"
"116",36.5,397.893880762139,"Eastern Broadleaf Forest"
"117",37,178.281871293602,"Eastern Broadleaf Forest"
"118",37,220.860944280171,"Eastern Broadleaf Forest"
"119",37.5,227.195506203098,"Eastern Broadleaf Forest"
"120",38,284.466477691489,"Eastern Broadleaf Forest"
"121",38.5,262.599642588527,"Eastern Broadleaf Forest"
"122",39,45.1573354242542,"Eastern Broadleaf Forest"
"123",38.5,157.85953353615,"Eastern Broadleaf Forest"
"124",39,105.989017158571,"Eastern Broadleaf Forest"
"125",39.5,152.735843105781,"Eastern Broadleaf Forest"
"126",40,70.1275588769027,"Eastern Broadleaf Forest"
"127",40.5,92.7448865671525,"Eastern Broadleaf Forest"
"128",41,28.7117374602674,"Eastern Broadleaf Forest"
"129",38.5,35.7364710497952,"Eastern Broadleaf Forest"
"130",39,241.971841863488,"Eastern Broadleaf Forest"
"131",39.5,255.173654330558,"Eastern Broadleaf Forest"
"132",40,213.253612081851,"Eastern Broadleaf Forest"
"133",40.5,129.205684572977,"Eastern Broadleaf Forest"
"134",41,61.5875883913801,"Eastern Broadleaf Forest"
"135",43,207.113249233478,"Eastern Broadleaf Forest"
"136",43.5,158.503169978477,"Eastern Broadleaf Forest"
"137",43.5,110.708382254328,"Eastern Broadleaf Forest"
"138",41.5,326.975628856167,"Laurentian_Mixed_Forest"
"139",42,334.139043120257,"Laurentian_Mixed_Forest"
"140",42.5,297.848388293084,"Laurentian_Mixed_Forest"
"141",43,297.855314787849,"Laurentian_Mixed_Forest"
"142",43.5,54.6990705154485,"Laurentian_Mixed_Forest"
"143",44,154.696040084658,"Laurentian_Mixed_Forest"
"144",44.5,188.369728571359,"Laurentian_Mixed_Forest"
"145",45,244.664235529143,"Laurentian_Mixed_Forest"
"146",45.5,121.170554079676,"Laurentian_Mixed_Forest"
"147",46,69.5597847372649,"Laurentian_Mixed_Forest"
"148",46.5,77.9279236248873,"Laurentian_Mixed_Forest"
"149",47,100.645021017343,"Laurentian_Mixed_Forest"
"150",47.5,25.6676765414136,"Laurentian_Mixed_Forest"
"151",46.5,36.8298478490781,"Laurentian_Mixed_Forest"
"152",47,206.680972962884,"Laurentian_Mixed_Forest"
"153",47.5,196.871979482643,"Laurentian_Mixed_Forest"
"154",48,210.229227698665,"Laurentian_Mixed_Forest"
"155",45.5,92.6320048986033,"Laurentian_Mixed_Forest"
"156",46,233.928419559431,"Laurentian_Mixed_Forest"
"157",46.5,238.59290088711,"Laurentian_Mixed_Forest"
"158",47,227.497274516409,"Laurentian_Mixed_Forest"
"159",47.5,23.9527422116999,"Laurentian_Mixed_Forest"
"160",44.5,130.002979146387,"Laurentian_Mixed_Forest"
"161",45,326.941629037743,"Laurentian_Mixed_Forest"
"162",45.5,376.13280577252,"Laurentian_Mixed_Forest"
"163",46,372.034113978292,"Laurentian_Mixed_Forest"
"164",46.5,278.78110637329,"Laurentian_Mixed_Forest"
"165",47,311.916732422806,"Laurentian_Mixed_Forest"
"166",47.5,296.19392033816,"Laurentian_Mixed_Forest"
"167",48,36.6530001895087,"Laurentian_Mixed_Forest"
"168",35.5,59.1778227330801,"Eastern Broadleaf Forest (Continental)"
"169",36,236.429875947222,"Eastern Broadleaf Forest (Continental)"
"170",36.5,448.220878901931,"Eastern Broadleaf Forest (Continental)"
"171",37,407.311499320393,"Eastern Broadleaf Forest (Continental)"
"172",37,480.420590545984,"Eastern Broadleaf Forest (Continental)"
"173",37.5,315.607331032283,"Eastern Broadleaf Forest (Continental)"
"174",38,276.420358258038,"Eastern Broadleaf Forest (Continental)"
"175",38.5,283.993174928386,"Eastern Broadleaf Forest (Continental)"
"176",39,178.359175058781,"Eastern Broadleaf Forest (Continental)"
"177",39,112.617364147198,"Eastern Broadleaf Forest (Continental)"
"178",39.5,277.020413290052,"Eastern Broadleaf Forest (Continental)"
"179",40,248.306436098091,"Eastern Broadleaf Forest (Continental)"
"180",40.5,260.690000764306,"Eastern Broadleaf Forest (Continental)"
"181",41,252.20836210574,"Eastern Broadleaf Forest (Continental)"
"182",41.5,272.535700183101,"Eastern Broadleaf Forest (Continental)"
"183",42,215.253200356499,"Eastern Broadleaf Forest (Continental)"
"184",39.5,146.955626855165,"Eastern Broadleaf Forest (Continental)"
"185",40,282.546572851536,"Eastern Broadleaf Forest (Continental)"
"186",40.5,224.908333309559,"Eastern Broadleaf Forest (Continental)"
"187",41,180.953499164451,"Eastern Broadleaf Forest (Continental)"
"188",41.5,207.334926256295,"Eastern Broadleaf Forest (Continental)"
"189",42,34.7522585016092,"Eastern Broadleaf Forest (Continental)"
"190",38.5,292.673590040025,"Eastern Broadleaf Forest (Continental)"
"191",39,227.280132621884,"Eastern Broadleaf Forest (Continental)"
"192",39.5,277.960189420827,"Eastern Broadleaf Forest (Continental)"
"193",38,267.824556546327,"Eastern Broadleaf Forest (Continental)"
"194",38.5,283.255542458641,"Eastern Broadleaf Forest (Continental)"
"195",39,237.415899133177,"Eastern Broadleaf Forest (Continental)"
"196",42,346.537586907531,"Eastern Broadleaf Forest (Continental)"
"197",42.5,427.131489992966,"Eastern Broadleaf Forest (Continental)"
"198",36.5,6.99999999999998,"Eastern Broadleaf Forest (Continental)"
"199",37,351.870162601518,"Eastern Broadleaf Forest (Continental)"
"200",37.5,419.205642959844,"Eastern Broadleaf Forest (Continental)"
"201",38,400.947147636972,"Eastern Broadleaf Forest (Continental)"
"202",38.5,265.937738578273,"Eastern Broadleaf Forest (Continental)"
"203",43,202.736729174606,"Eastern Broadleaf Forest (Continental)"
"204",43.5,220.535076479937,"Eastern Broadleaf Forest (Continental)"
"205",44,249.223763948515,"Eastern Broadleaf Forest (Continental)"
"206",44.5,265.134626615537,"Eastern Broadleaf Forest (Continental)"
"207",45,214.290183216907,"Eastern Broadleaf Forest (Continental)"
"208",42.5,79.5751197417963,"Eastern Broadleaf Forest (Continental)"
"209",43,397.534374653747,"Eastern Broadleaf Forest (Continental)"
"210",43.5,420.920571765084,"Eastern Broadleaf Forest (Continental)"
"211",44,347.147360033037,"Eastern Broadleaf Forest (Continental)"
"212",44.5,200.929660636842,"Eastern Broadleaf Forest (Continental)"
"213",45,133.798468923554,"Eastern Broadleaf Forest (Continental)"
"214",42,309.965698680912,"Eastern Broadleaf Forest (Continental)"
"215",42.5,377.385647030597,"Eastern Broadleaf Forest (Continental)"
"216",43,356.88060823637,"Eastern Broadleaf Forest (Continental)"
"217",36.5,490.482120502834,"Eastern Broadleaf Forest (Continental)"
