"","lat","Shannon","biome"
"1",42.5,120.137643188486,"Adirondack"
"2",43,303.740705019376,"Adirondack"
"3",43.5,13.0410385025102,"Adirondack"
"4",44,123.946853099065,"Adirondack"
"5",44.5,155.783047221505,"Adirondack"
"6",45,38.6504902793695,"Adirondack"
"7",42.5,287.777994440363,"Adirondack"
"8",43,293.456333261035,"Adirondack"
"9",43.5,228.98622987558,"Adirondack"
"10",44,166.295067078042,"Adirondack"
"11",44.5,228.572030952972,"Adirondack"
"12",45,223.234870826263,"Adirondack"
"13",45.5,102.669021824014,"Adirondack"
"14",46,118.857725786118,"Adirondack"
"15",46.5,53.9285222852719,"Adirondack"
"16",47,76.026509689069,"Adirondack"
"17",35,258.308139138112,"Appalachian Broadleaf Forest"
"18",35.5,214.578539464269,"Appalachian Broadleaf Forest"
"19",36,197.000204214321,"Appalachian Broadleaf Forest"
"20",36.5,275.622510185415,"Appalachian Broadleaf Forest"
"21",37,102.37776970689,"Appalachian Broadleaf Forest"
"22",35.5,300.873556322393,"Appalachian Broadleaf Forest"
"23",36,342.075786689773,"Appalachian Broadleaf Forest"
"24",36.5,258.867532068692,"Appalachian Broadleaf Forest"
"25",37,95.0372164409579,"Appalachian Broadleaf Forest"
"26",37,263.2730671491,"Appalachian Broadleaf Forest"
"27",37.5,317.269075968189,"Appalachian Broadleaf Forest"
"28",38,272.206126297539,"Appalachian Broadleaf Forest"
"29",38.5,253.720029908039,"Appalachian Broadleaf Forest"
"30",39,268.661390122438,"Appalachian Broadleaf Forest"
"31",39.5,191.497412599676,"Appalachian Broadleaf Forest"
"32",37.5,85.931541402636,"Appalachian Broadleaf Forest"
"33",38,236.436614422726,"Appalachian Broadleaf Forest"
"34",38.5,227.743684046019,"Appalachian Broadleaf Forest"
"35",39,368.075122262966,"Appalachian Broadleaf Forest"
"36",39.5,358.760296531808,"Appalachian Broadleaf Forest"
"37",40,216.435684147967,"Appalachian Broadleaf Forest"
"38",39.5,271.382713370234,"Appalachian Broadleaf Forest"
"39",40,363.846701210835,"Appalachian Broadleaf Forest"
"40",40,360.461443426917,"Appalachian Broadleaf Forest"
"41",40.5,378.337941895285,"Appalachian Broadleaf Forest"
"42",41,350.813194136791,"Appalachian Broadleaf Forest"
"43",41.5,191.69710181988,"Appalachian Broadleaf Forest"
"44",35,183.872660052055,"Appalachian Broadleaf Forest"
"45",35.5,151.05810099852,"Appalachian Broadleaf Forest"
