"","lat","Shannon","biome"
"1",34,113.739752241873,"Subtropical Prairie Parkland"
"2",34.5,243.892452597019,"Subtropical Prairie Parkland"
"3",35,162.714135039577,"Subtropical Prairie Parkland"
"4",35.5,98.7609369582309,"Subtropical Prairie Parkland"
"5",30.5,217.719862638379,"Subtropical Prairie Parkland"
"6",31,257.79523471605,"Subtropical Prairie Parkland"
"7",31.5,186.417095188848,"Subtropical Prairie Parkland"
"8",32,241.181980300722,"Subtropical Prairie Parkland"
"9",32.5,276.683369128936,"Subtropical Prairie Parkland"
"10",33,340.849509405798,"Subtropical Prairie Parkland"
"11",33.5,315.678542353413,"Subtropical Prairie Parkland"
"12",34,285.798212098825,"Subtropical Prairie Parkland"
"13",46.5,22.3756267731993,"Great Plains Palousse Dry Steppe"
"14",47,76.858107188751,"Great Plains Palousse Dry Steppe"
"15",47.5,76.9567246786937,"Great Plains Palousse Dry Steppe"
"16",48,72.0675553270831,"Great Plains Palousse Dry Steppe"
"17",42.5,165.77646961151,"Great Plains Palousse Dry Steppe"
"18",43,189.017298842475,"Great Plains Palousse Dry Steppe"
"19",43.5,139.136837942295,"Great Plains Palousse Dry Steppe"
"20",44,125.36500016492,"Great Plains Palousse Dry Steppe"
"21",44.5,32.1546052362685,"Great Plains Palousse Dry Steppe"
"22",45,41.9091463900356,"Great Plains Palousse Dry Steppe"
"23",45.5,107.133532759338,"Great Plains Palousse Dry Steppe"
"24",46,80.7627666078746,"Great Plains Palousse Dry Steppe"
"25",41,14.1319520226397,"Great Plains Palousse Dry Steppe"
"26",41.5,44.1106235773373,"Great Plains Palousse Dry Steppe"
"27",42,131.791728550867,"Great Plains Palousse Dry Steppe"
"28",42,5,"Great Plains Palousse Dry Steppe"
"29",42.5,86.0428238775883,"Great Plains Palousse Dry Steppe"
"30",43,97.0094418836538,"Great Plains Palousse Dry Steppe"
"31",43.5,131.729837458271,"Great Plains Palousse Dry Steppe"
"32",44,122.771687008216,"Great Plains Palousse Dry Steppe"
"33",44.5,32.8893263530333,"Great Plains Palousse Dry Steppe"
"34",41.5,16.0643180916711,"Great Plains Palousse Dry Steppe"
"35",42,79.8993806894783,"Great Plains Palousse Dry Steppe"
"36",42.5,77.1998454593642,"Great Plains Palousse Dry Steppe"
"37",43,102.7874805232,"Great Plains Palousse Dry Steppe"
"38",43.5,38.9958651005436,"Great Plains Palousse Dry Steppe"
"39",44,53.5654605793068,"Great Plains Palousse Dry Steppe"
"40",44.5,38.2881498700071,"Great Plains Palousse Dry Steppe"
"41",45,46.8049128122426,"Great Plains Palousse Dry Steppe"
"42",46,13.6758373283732,"Great Plains Steppe"
"43",46.5,70.2577331267358,"Great Plains Steppe"
"44",47,154.079727119471,"Great Plains Steppe"
"45",47.5,148.771370805314,"Great Plains Steppe"
"46",48,124.775482577985,"Great Plains Steppe"
"47",43.5,30.8863227402875,"Great Plains Steppe"
"48",44,81.4930376895193,"Great Plains Steppe"
"49",40.5,69.1138213781164,"Great Plains Steppe"
"50",41,27.1080216428521,"Great Plains Steppe"
"51",41.5,118.341162676758,"Great Plains Steppe"
"52",42,129.306832457898,"Great Plains Steppe"
"53",42.5,68.6292756271272,"Great Plains Steppe"
"54",43,117.494726375841,"Great Plains Steppe"
"55",37.5,200.233763220716,"Great Plains Steppe"
"56",38,134.878823321838,"Great Plains Steppe"
"57",38.5,116.077348801634,"Great Plains Steppe"
"58",39,152.132320103143,"Great Plains Steppe"
"59",39.5,150.172753414294,"Great Plains Steppe"
"60",40,129.072668468935,"Great Plains Steppe"
"61",37,83.7418514691025,"Great Plains Steppe"
"62",37.5,57.7913460022697,"Great Plains Steppe"
"63",38,88.2559728041387,"Great Plains Steppe"
"64",38.5,78.6527686126423,"Great Plains Steppe"
"65",39,55.9061543949259,"Great Plains Steppe"
"66",39.5,53.9988935997864,"Great Plains Steppe"
"67",40,20.8715406002431,"Great Plains Steppe"
"68",40.5,60.1082838296796,"Great Plains Steppe"
"69",41,90.225029223494,"Great Plains Steppe"
"70",41.5,32.7570600936089,"Great Plains Steppe"
"71",42,17.9497793980502,"Great Plains Steppe"
"72",42.5,81.7282109158882,"Great Plains Steppe"
"73",43,19.611944646178,"Great Plains Steppe"
"74",43.5,27.1044326320652,"Great Plains Steppe"
"75",44,8.00000000000003,"Great Plains Steppe"
"76",44.5,52.9718739643975,"Great Plains Steppe"
"77",45,37.2511776439071,"Great Plains Steppe"
"78",45.5,37.3903388046718,"Great Plains Steppe"
"79",46,115.991941804309,"Great Plains Steppe"
"80",46.5,86.0967192943144,"Great Plains Steppe"
"81",47,74.532357567098,"Great Plains Steppe"
"82",47.5,78.4004502675394,"Great Plains Steppe"
"83",48,87.364441348662,"Great Plains Steppe"
"84",44,191.599976413637,"Temperate Prairie Parkland"
"85",44.5,186.406515360405,"Temperate Prairie Parkland"
"86",45,144.21927700087,"Temperate Prairie Parkland"
"87",45.5,166.899024493412,"Temperate Prairie Parkland"
"88",46,4,"Temperate Prairie Parkland"
"89",40.5,4,"Temperate Prairie Parkland"
"90",41,152.467814963331,"Temperate Prairie Parkland"
