"","lat","Shannon","biome"
"1",42.5,374.225305893538,"California Coastal Chapparel Forest"
"2",43,196.820337328985,"California Coastal Chapparel Forest"
"3",43.5,223.858919774949,"California Coastal Chapparel Forest"
"4",36.5,188.288368823957,"California Coastal Chapparel Forest"
"5",37,171.935426469277,"California Coastal Chapparel Forest"
"6",37.5,223.962235823631,"California Coastal Chapparel Forest"
"7",38,206.610254503952,"California Coastal Chapparel Forest"
"8",38.5,224.280181034733,"California Coastal Chapparel Forest"
"9",39,387.38342764694,"California Coastal Chapparel Forest"
"10",39.5,386.964941060995,"California Coastal Chapparel Forest"
"11",40,280.895408187254,"California Coastal Chapparel Forest"
"12",40.5,296.396140646522,"California Coastal Chapparel Forest"
"13",41,395.920186877839,"California Coastal Chapparel Forest"
"14",41.5,345.319405293829,"California Coastal Chapparel Forest"
"15",42,314.884457603869,"California Coastal Chapparel Forest"
"16",42.5,37.6835592962809,"California Coastal Chapparel Forest"
"17",33,326.94699264423,"California Coastal Range Open Woodland"
"18",33.5,336.785983146744,"California Coastal Range Open Woodland"
"19",34,333.083611755509,"California Coastal Range Open Woodland"
"20",34.5,335.312501680523,"California Coastal Range Open Woodland"
"21",35,334.039537431546,"California Coastal Range Open Woodland"
"22",35.5,61.3304142249461,"California Coastal Range Open Woodland"
"23",35.5,52.7877365533081,"California Coastal Range Open Woodland"
"24",36,67.665049076832,"California Coastal Range Open Woodland"
"25",36.5,133.27858934698,"California Coastal Range Open Woodland"
"26",37,104.496362020402,"California Coastal Range Open Woodland"
"27",37.5,122.167282575554,"California Coastal Range Open Woodland"
