"","lat","Shannon","biome"
"1",43,20.6564800345575,"Cascade Mixed Forest"
"2",43.5,173.58121821729,"Cascade Mixed Forest"
"3",44,341.61789863156,"Cascade Mixed Forest"
"4",44.5,366.820639944171,"Cascade Mixed Forest"
"5",45,243.106110372591,"Cascade Mixed Forest"
"6",45.5,173.022015907855,"Cascade Mixed Forest"
"7",46,203.425941083453,"Cascade Mixed Forest"
"8",46.5,161.279493821506,"Cascade Mixed Forest"
"9",46,238.900112612978,"Cascade Mixed Forest"
"10",46.5,242.359612161038,"Cascade Mixed Forest"
"11",47,300.765988372906,"Cascade Mixed Forest"
"12",47.5,296.809109879984,"Cascade Mixed Forest"
"13",48,214.319591168457,"Cascade Mixed Forest"
"14",48.5,155.595926345636,"Cascade Mixed Forest"
"15",49,151.445772919913,"Cascade Mixed Forest"
"16",47,20.5471662359646,"Northern Rocky Mountains Forest Steppe"
"17",47.5,94.5671029890042,"Northern Rocky Mountains Forest Steppe"
"18",48,132.57643921888,"Northern Rocky Mountains Forest Steppe"
"19",48.5,152.808044970985,"Northern Rocky Mountains Forest Steppe"
"20",49,148.152650664597,"Northern Rocky Mountains Forest Steppe"
"21",47,144.054246499349,"Northern Rocky Mountains Forest Steppe"
"22",47.5,108.448440221506,"Northern Rocky Mountains Forest Steppe"
"23",48,165.278159726971,"Northern Rocky Mountains Forest Steppe"
"24",48.5,162.606139997382,"Northern Rocky Mountains Forest Steppe"
"25",49,106.528481321253,"Northern Rocky Mountains Forest Steppe"
"26",48,39.7828662885221,"Northern Rocky Mountains Forest Steppe"
"27",48,114.230299544309,"Northern Rocky Mountains Forest Steppe"
"28",48.5,108.245121679141,"Northern Rocky Mountains Forest Steppe"
"29",49,155.490050333041,"Northern Rocky Mountains Forest Steppe"
"30",46.5,159.259224621988,"Middle Rocky Mountain Steppe"
"31",45,187.618998146743,"Middle Rocky Mountain Steppe"
"32",45.5,193.919170246803,"Middle Rocky Mountain Steppe"
"33",46,154.338908472332,"Middle Rocky Mountain Steppe"
"34",44.5,40.408114512336,"Middle Rocky Mountain Steppe"
"35",45,105.479337038567,"Middle Rocky Mountain Steppe"
"36",45.5,189.904084514475,"Middle Rocky Mountain Steppe"
"37",45.5,61.7598433069956,"Middle Rocky Mountain Steppe"
"38",46,156.920855673552,"Middle Rocky Mountain Steppe"
"39",46.5,187.617462350837,"Middle Rocky Mountain Steppe"
"40",47,74.8342773515924,"Middle Rocky Mountain Steppe"
"41",44.5,178.222131951048,"Middle Rocky Mountain Steppe"
"42",45,129.394285319644,"Middle Rocky Mountain Steppe"
"43",45.5,80.9654438664042,"Middle Rocky Mountain Steppe"
"44",38.5,84.5208617670452,"Nevada-Utah Mountains"
"45",39,179.616039278356,"Nevada-Utah Mountains"
"46",39.5,141.446812301995,"Nevada-Utah Mountains"
"47",40,56.8890344971587,"Nevada-Utah Mountains"
"48",39.5,9.00000000000001,"Nevada-Utah Mountains"
"49",40,5,"Nevada-Utah Mountains"
"50",37.5,5.74234749205348,"Nevada-Utah Mountains"
"51",38,172.431987838774,"Nevada-Utah Mountains"
"52",38.5,96.8535311599313,"Nevada-Utah Mountains"
"53",39,51.5061132138769,"Nevada-Utah Mountains"
"54",40,20.1783512514359,"Nevada-Utah Mountains"
"55",44.5,73.084151261537,"Southern Rocky Mountain Steppe-Open Woodland"
"56",45,129.076779987454,"Southern Rocky Mountain Steppe-Open Woodland"
"57",45.5,145.466248045566,"Southern Rocky Mountain Steppe-Open Woodland"
"58",43,21.3815692353681,"Southern Rocky Mountain Steppe-Open Woodland"
"59",43.5,122.522167258177,"Southern Rocky Mountain Steppe-Open Woodland"
"60",44,138.45162794151,"Southern Rocky Mountain Steppe-Open Woodland"
"61",41.5,167.977960950459,"Southern Rocky Mountain Steppe-Open Woodland"
"62",37.5,172.251407863689,"Southern Rocky Mountain Steppe-Open Woodland"
"63",38,181.486304878659,"Southern Rocky Mountain Steppe-Open Woodland"
"64",38.5,252.220032522495,"Southern Rocky Mountain Steppe-Open Woodland"
"65",39,280.837187047102,"Southern Rocky Mountain Steppe-Open Woodland"
"66",39.5,231.450051528152,"Southern Rocky Mountain Steppe-Open Woodland"
"67",40,219.221815410684,"Southern Rocky Mountain Steppe-Open Woodland"
"68",40.5,196.290261984858,"Southern Rocky Mountain Steppe-Open Woodland"
"69",41,184.265230887728,"Southern Rocky Mountain Steppe-Open Woodland"
"70",36,63.5391806778693,"Southern Rocky Mountain Steppe-Open Woodland"
"71",37,107.054194042384,"Southern Rocky Mountain Steppe-Open Woodland"
"72",36,26.6213602041404,"Southern Rocky Mountain Steppe-Open Woodland"
"73",36.5,116.746724204644,"Southern Rocky Mountain Steppe-Open Woodland"
"74",37,130.426131673561,"Southern Rocky Mountain Steppe-Open Woodland"
"75",40,62.6745887644411,"Southern Rocky Mountain Steppe-Open Woodland"
"76",40.5,172.44661418715,"Southern Rocky Mountain Steppe-Open Woodland"
"77",41,203.873333571466,"Southern Rocky Mountain Steppe-Open Woodland"
"78",41.5,126.856179333381,"Southern Rocky Mountain Steppe-Open Woodland"
"79",42,239.882256744675,"Southern Rocky Mountain Steppe-Open Woodland"
"80",42.5,117.021022927969,"Southern Rocky Mountain Steppe-Open Woodland"
"81",43,81.1401291871813,"Southern Rocky Mountain Steppe-Open Woodland"
"82",43.5,101.33135216158,"Southern Rocky Mountain Steppe-Open Woodland"
