"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"1781",4133826229,"Asterales","Asteraceae","Xylorhiza","Xylorhiza glabriuscula","","SPECIES","Xylorhiza glabriuscula Nutt.","Xylorhiza glabriuscula","","","Wyoming",41.728578,-109.105758,4
"91915",3858521947,"Asterales","Asteraceae","Stenotus","Stenotus acaulis","","SPECIES","Stenotus acaulis (Nutt.) Nutt.","Stenotus acaulis","","","Wyoming",41.774763,-108.942043,10
"108873",4014925552,"Asterales","Asteraceae","Antennaria","Antennaria dimorpha","","SPECIES","Antennaria dimorpha (Nutt.) Torr. & A.Gray","Antennaria dimorpha","","","Wyoming",41.77464,-108.94206,15
"186356",1677277413,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Wyoming",41.999953,-108.917297,5
"207496",4171292886,"Asterales","Asteraceae","Tetradymia","Tetradymia nuttallii","","SPECIES","Tetradymia nuttallii Torr. & A.Gray","Tetradymia nuttallii","","","Wyoming",41.728767,-109.104125,4
"225846",3858840980,"Asterales","Asteraceae","Artemisia","Artemisia nuttallii","","SPECIES","Artemisia nuttallii (Torr. & A.Gray) Mosyakin, L.M.Shultz & G.V.Boiko","Artemisia nuttallii","","","Wyoming",41.774765,-108.942045,10
"237911",3860225978,"Asterales","Asteraceae","Cirsium","Cirsium pulcherrimum","","SPECIES","Cirsium pulcherrimum (Rydb.) K.Schum.","Cirsium pulcherrimum","","","Wyoming",41.712436,-107.784369,6
"255664",4171229775,"Asterales","Asteraceae","Chrysothamnus","Chrysothamnus viscidiflorus","","SPECIES","Chrysothamnus viscidiflorus (Hook.) Nutt.","Chrysothamnus viscidiflorus","","","Wyoming",41.675338,-108.119928,4
"260310",4006554302,"Asterales","Asteraceae","Dieteria","Dieteria canescens","","SPECIES","Dieteria canescens (Pursh) Nutt.","Dieteria canescens","","","Wyoming",41.962155,-109.080075,5
"300628",3325685464,"Asterales","Asteraceae","Chaenactis","Chaenactis douglasii","","SPECIES","Chaenactis douglasii (Hook.) Hook. & Arn.","Chaenactis douglasii","","","Wyoming",41.679805,-107.545845,10
"312284",3327713356,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Wyoming",41.710805,-107.489784,9
"351184",3384043810,"Asterales","Asteraceae","Helianthus","Helianthus annuus","","SPECIES","Helianthus annuus L.","Helianthus annuus","","","Wyoming",41.670494,-109.193909,23
"355109",4137583263,"Asterales","Asteraceae","Xylorhiza","Xylorhiza glabriuscula","","SPECIES","Xylorhiza glabriuscula Nutt.","Xylorhiza glabriuscula","","","Wyoming",41.987563,-107.358697,7
"416982",2597834851,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Wyoming",41.658337,-108.609567,10
"462124",2294526877,"Asterales","Asteraceae","Dieteria","Dieteria canescens","","SPECIES","Dieteria canescens (Pursh) Nutt.","Dieteria canescens","","","Wyoming",41.673122,-107.683662,16
"580528",3314155497,"Asterales","Asteraceae","Xylorhiza","Xylorhiza glabriuscula","","SPECIES","Xylorhiza glabriuscula Nutt.","Xylorhiza glabriuscula","","","Wyoming",41.987008,-107.35975,4
