"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","biome"
"18797",3385167614,"Asterales","Asteraceae","Acmella","Acmella repens","","SPECIES","Acmella repens (Walter) Richard","Acmella repens","","","Arkansas",33.106347,-91.640647,3,"Mississippi River Forest"
"45553",2963901802,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Arkansas",33.389762,-91.195046,24,"Mississippi River Forest"
"46633",3858201718,"Asterales","Asteraceae","Rudbeckia","Rudbeckia amplexicaulis","","SPECIES","Rudbeckia amplexicaulis Vahl","Rudbeckia amplexicaulis","","","Arkansas",33.60444,-91.17935,10,"Mississippi River Forest"
"92778",3335518481,"Asterales","Asteraceae","Parthenium","Parthenium hysterophorus","","SPECIES","Parthenium hysterophorus L.","Parthenium hysterophorus","","","Arkansas",33.28255,-91.16731,10,"Mississippi River Forest"
"97924",3384529297,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Arkansas",33.447068,-91.539265,40,"Mississippi River Forest"
"132093",3384468305,"Asterales","Asteraceae","Vernonia","Vernonia gigantea","","SPECIES","Vernonia gigantea (Walter) Trel.","Vernonia gigantea","","","Arkansas",33.447068,-91.539265,40,"Mississippi River Forest"
"170683",3343946622,"Asterales","Asteraceae","Ageratina","Ageratina altissima","","SPECIES","Ageratina altissima (L.) R.M.King & H.Rob.","Ageratina altissima","","","Arkansas",33.59591,-91.16964,10,"Mississippi River Forest"
"222343",3112362002,"Asterales","Campanulaceae","Triodanis","Triodanis biflora","","SPECIES","Triodanis biflora Nieuwl.","Triodanis biflora","","","Arkansas",33.58481,-91.18837,10,"Mississippi River Forest"
"234939",3112389998,"Asterales","Asteraceae","Ambrosia","Ambrosia trifida","","SPECIES","Ambrosia trifida L.","Ambrosia trifida","","","Arkansas",33.60511,-91.19216,10,"Mississippi River Forest"
"320690",3384095561,"Asterales","Asteraceae","Symphyotrichum","Symphyotrichum divaricatum","","SPECIES","Symphyotrichum divaricatum (Nutt.) G.L.Nesom","Symphyotrichum divaricatum","","","Arkansas",33.374578,-91.20249,9,"Mississippi River Forest"
"333356",3335468452,"Asterales","Asteraceae","Erigeron","Erigeron canadensis","","SPECIES","Erigeron canadensis L.","Erigeron canadensis","","","Arkansas",33.2827,-91.16726,10,"Mississippi River Forest"
"358682",3712727903,"Asterales","Asteraceae","Packera","Packera glabella","","SPECIES","Packera glabella (Poir.) C.Jeffrey","Packera glabella","","","Arkansas",33.263275,-91.221631,4,"Mississippi River Forest"
"369699",4153793424,"Asterales","Asteraceae","Pyrrhopappus","Pyrrhopappus carolinianus","","SPECIES","Pyrrhopappus carolinianus (Walter) DC.","Pyrrhopappus carolinianus","","","Arkansas",33.346259,-91.568847,6,"Mississippi River Forest"
