"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"1371",2634233752,"Asterales","Asteraceae","Erigeron","Erigeron compositus","","SPECIES","Erigeron compositus Pursh","Erigeron compositus","","","Idaho",44.349455,-113.579238,5
"11549",4022064974,"Asterales","Asteraceae","Lactuca","Lactuca pulchella","","SPECIES","Lactuca pulchella (Pursh) DC.","Lactuca pulchella","","","Idaho",44.475164,-114.210735,11
"17755",3335311959,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Idaho",45.16616,-113.86337,44
"27127",2850943759,"Asterales","Asteraceae","Matricaria","Matricaria discoidea","","SPECIES","Matricaria discoidea DC.","Matricaria discoidea","","","Idaho",44.802794,-113.566377,10
"34906",3337884762,"Asterales","Asteraceae","Artemisia","Artemisia tripartita","","SPECIES","Artemisia tripartita Rydb.","Artemisia tripartita","","","Idaho",44.990608,-113.867972,9
"43248",4416768576,"Asterales","Asteraceae","Brickellia","Brickellia grandiflora","","SPECIES","Brickellia grandiflora (Hook.) Nutt.","Brickellia grandiflora","","","Idaho",45.093623,-114.734441,8
"47541",4153664442,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Idaho",45.16795,-113.864433,3
"48106",4153736752,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Idaho",45.167136,-113.862725,4
"51828",3858541407,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Idaho",45.168671,-113.86319,4
"58299",2864786880,"Asterales","Asteraceae","Cirsium","Cirsium scariosum","","SPECIES","Cirsium scariosum Nutt.","Cirsium scariosum","","","Idaho",44.603192,-115.845603,4
"68285",4029118001,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Idaho",44.401718,-114.345474,26
"68396",4165753783,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Idaho",44.503055,-116.063064,4
"71678",3384392869,"Asterales","Asteraceae","Chaenactis","Chaenactis douglasii","douglasii","VARIETY","Chaenactis douglasii var. douglasii","Chaenactis douglasii douglasii","","","Idaho",44.635825,-116.068572,5
"75018",4421085507,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Idaho",44.68053,-113.359092,16
"78154",3705821489,"Asterales","Asteraceae","Helianthus","Helianthus annuus","","SPECIES","Helianthus annuus L.","Helianthus annuus","","","Idaho",44.523143,-114.174001,4
"82721",3903377509,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Idaho",44.319245,-115.097008,4
"95450",3881614587,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Idaho",44.961975,-116.05268,5
"108004",4405023384,"Asterales","Asteraceae","Ageratina","Ageratina occidentalis","","SPECIES","Ageratina occidentalis (Hook.) R.M.King & H.Rob.","Ageratina occidentalis","","","Idaho",44.360297,-115.228875,6
"110891",3330713626,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Idaho",45.186725,-113.89602,4
