"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"158312",3759630191,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Washington",47.953891,-117.350681,3
"482619",4171615133,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Washington",47.959993,-117.489737,5
"809179",4400402563,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Washington",47.960107,-117.483644,7
"904030",3764101234,"Asterales","Asteraceae","Erigeron","Erigeron compositus","","SPECIES","Erigeron compositus Pursh","Erigeron compositus","","","Washington",47.954006,-117.350166,5
"21650",3399096735,"Ericales","Ericaceae","Arctostaphylos","Arctostaphylos uva-ursi","","SPECIES","Arctostaphylos uva-ursi (L.) Spreng.","Arctostaphylos uva-ursi","","","Washington",47.97276,-117.400613,3
"115346",2028435679,"Ericales","Polemoniaceae","Collomia","Collomia linearis","","SPECIES","Collomia linearis Nutt.","Collomia linearis","","","Washington",47.968207,-117.457429,15
"32520",2898507346,"Boraginales","Boraginaceae","Lycopsis","Lycopsis arvensis","","SPECIES","Anchusa arvensis Tausch, 1824","Anchusa arvensis","","","Washington",47.971608,-117.56932,5
"71176",4116306063,"Boraginales","Hydrophyllaceae","Hydrophyllum","Hydrophyllum capitatum","","SPECIES","Hydrophyllum capitatum Douglas ex Benth.","Hydrophyllum capitatum","","","Washington",47.99622,-117.71827,29
"89556",3124656701,"Boraginales","Boraginaceae","Lithospermum","Lithospermum ruderale","","SPECIES","Lithospermum ruderale Douglas ex Lehm.","Lithospermum ruderale","","","Washington",47.981858,-117.298155,10
"183116",4400491415,"Cornales","Cornaceae","Cornus","Cornus sericea","","SPECIES","Cornus sericea L.","Cornus sericea","","","Washington",47.959651,-117.483674,18
"312622",1880586472,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Washington",47.967683,-117.456664,31
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71010",3994088387,"Apiales","Apiaceae","Lomatium","Lomatium triternatum","","SPECIES","Lomatium triternatum (Pursh) J.M.Coult. & Rose","Lomatium triternatum","","","Washington",47.984242,-117.296888,5
"76657",3314352473,"Apiales","Araliaceae","Aralia","Aralia nudicaulis","","SPECIES","Aralia nudicaulis L.","Aralia nudicaulis","","","Washington",47.983172,-117.29933,5
