"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"433597",1265905109,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Colorado",39.707044,-108.799,5
"3044",2818589252,"Ericales","Polemoniaceae","Polemonium","Polemonium foliosissimum","molle","VARIETY","Polemonium foliosissimum var. molle (Greene) Anway","Polemonium foliosissimum molle","","","Colorado",39.603247,-108.800378,10
"1350071",2901820569,"Ericales","Polemoniaceae","Collomia","Collomia linearis","","SPECIES","Collomia linearis Nutt.","Collomia linearis","","","Colorado",39.644688,-108.59938,24
"164334",3337417543,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis aggregata","","SPECIES","Ipomopsis aggregata (Pursh) V.E.Grant","Ipomopsis aggregata","","","Colorado",39.572297,-108.822517,5
"3080781",3860494621,"Ericales","Polemoniaceae","Collomia","Collomia linearis","","SPECIES","Collomia linearis Nutt.","Collomia linearis","","","Colorado",39.80723,-108.559625,4
"314527",4420914000,"Ericales","Polemoniaceae","Ipomopsis","Ipomopsis aggregata","","SPECIES","Ipomopsis aggregata (Pursh) V.E.Grant","Ipomopsis aggregata","","","Colorado",39.880225,-108.607528,4
"989301",2980995500,"Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","","SPECIES","Cynoglossum officinale L.","Cynoglossum officinale","","","Colorado",39.607212,-108.539337,20
"114084",3858426295,"Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","","SPECIES","Cynoglossum officinale L.","Cynoglossum officinale","","","Colorado",39.587988,-108.824358,4
"135043",4138110659,"Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","","SPECIES","Cynoglossum officinale L.","Cynoglossum officinale","","","Colorado",39.62117,-108.795722,10
"172495",2850561861,"Celastrales","Celastraceae","Paxistima","Paxistima myrsinites","","SPECIES","Paxistima myrsinites (Pursh) Raf.","Paxistima myrsinites","","","Colorado",39.551262,-108.801833,22
"301101",3044617574,"Geraniales","Geraniaceae","Geranium","Geranium richardsonii","","SPECIES","Geranium richardsonii Fisch. & Trautv.","Geranium richardsonii","","","Colorado",39.603253,-108.800322,10
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564670",4116543419,"Myrtales","Onagraceae","Oenothera","Oenothera pallida","","SPECIES","Oenothera pallida Lindl.","Oenothera pallida","","","Colorado",39.629292,-108.317375,3
"770251",2826430239,"Saxifragales","Saxifragaceae","Heuchera","Heuchera parvifolia","","SPECIES","Heuchera parvifolia Nutt. ex Torr. & A.Gray","Heuchera parvifolia","","","Colorado",39.5513,-108.801913,22
