"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","biome"
"119911",3743059849,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum","","","Oklahoma",35.376399,-94.56706,50,"Southeastern Mixed Forest"
"125678",3858492712,"Asterales","Asteraceae","Verbesina","Verbesina helianthoides","","SPECIES","Verbesina helianthoides Michx.","Verbesina helianthoides","","","Oklahoma",35.428863,-94.548912,4,"Southeastern Mixed Forest"
"129071",3859372755,"Asterales","Asteraceae","Plectocephalus","Plectocephalus americanus","","SPECIES","Plectocephalus americanus (Nutt.) D.Don","Plectocephalus americanus","","","Oklahoma",35.274497,-94.542852,7,"Southeastern Mixed Forest"
"167811",3355590297,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.405606,-94.548424,24,"Southeastern Mixed Forest"
"186963",3465911771,"Asterales","Asteraceae","Echinacea","Echinacea pallida","","SPECIES","Echinacea pallida (Nutt.) Nutt.","Echinacea pallida","","","Oklahoma",35.390933,-94.557248,38,"Southeastern Mixed Forest"
"229769",2901585598,"Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","","SPECIES","Lobelia cardinalis L.","Lobelia cardinalis","","","Oklahoma",35.417213,-94.514149,28,"Southeastern Mixed Forest"
"236533",3039249421,"Asterales","Asteraceae","Liatris","Liatris pycnostachya","","SPECIES","Liatris pycnostachya Michx.","Liatris pycnostachya","","","Oklahoma",35.264258,-94.477395,5,"Southeastern Mixed Forest"
"267506",3005106595,"Asterales","Asteraceae","Baccharis","Baccharis halimifolia","","SPECIES","Baccharis halimifolia L.","Baccharis halimifolia","","","Oklahoma",35.303834,-94.759797,24,"Southeastern Mixed Forest"
"280298",3466196490,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.398689,-94.616734,24,"Southeastern Mixed Forest"
"281743",3764314808,"Asterales","Asteraceae","Packera","Packera obovata","","SPECIES","Packera obovata (Muhl. ex Willd.) W.A.Weber & Á.Löve","Packera obovata","","","Oklahoma",35.425259,-94.618622,50,"Southeastern Mixed Forest"
"290799",3764546159,"Asterales","Asteraceae","Krigia","Krigia dandelion","","SPECIES","Krigia dandelion (L.) Nutt.","Krigia dandelion","","","Oklahoma",35.409641,-94.51541,24,"Southeastern Mixed Forest"
"343888",3860451056,"Asterales","Asteraceae","Rudbeckia","Rudbeckia amplexicaulis","","SPECIES","Rudbeckia amplexicaulis Vahl","Rudbeckia amplexicaulis","","","Oklahoma",35.372131,-94.495588,24,"Southeastern Mixed Forest"
"353392",3860153493,"Asterales","Asteraceae","Coreopsis","Coreopsis tinctoria","","SPECIES","Coreopsis tinctoria Nutt.","Coreopsis tinctoria","","","Oklahoma",35.248829,-94.476026,7,"Southeastern Mixed Forest"
"382302",3466309873,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.480047,-94.542428,25,"Southeastern Mixed Forest"
"423232",3998535799,"Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","","SPECIES","Eupatorium serotinum Michx.","Eupatorium serotinum Michx.","Michx.","","",35.464516,-94.526662,12,"Southeastern Mixed Forest"
"423596",3953935481,"Asterales","Asteraceae","Soliva","Soliva sessilis","","SPECIES","Soliva sessilis Ruiz & Pav.","Soliva sessilis Ruiz & Pav.","Ruiz & Pav.","","",35.471122,-94.628729,12,"Southeastern Mixed Forest"
"432345",4133626544,"Asterales","Campanulaceae","Triodanis","Triodanis biflora","","SPECIES","Triodanis biflora Nieuwl.","Triodanis biflora","","","Oklahoma",35.407641,-94.682055,5,"Southeastern Mixed Forest"
"444752",3499364107,"Asterales","Asteraceae","Krigia","Krigia dandelion","","SPECIES","Krigia dandelion (L.) Nutt.","Krigia dandelion","","","Oklahoma",35.471524,-94.534159,42,"Southeastern Mixed Forest"
"475882",3902926848,"Asterales","Asteraceae","Silphium","Silphium perfoliatum","","SPECIES","Silphium perfoliatum L.","Silphium perfoliatum","","","Oklahoma",35.460495,-94.656028,20,"Southeastern Mixed Forest"
"484985",2283103194,"Asterales","Asteraceae","Helenium","Helenium flexuosum","","SPECIES","Helenium flexuosum Raf.","Helenium flexuosum","","","Oklahoma",35.264222,-94.477172,5,"Southeastern Mixed Forest"
"503537",2603429488,"Asterales","Asteraceae","Taraxacum","Taraxacum officinale","","SPECIES","Taraxacum officinale Weber ex F.H.Wigg.","Taraxacum officinale","","","Oklahoma",35.361599,-94.567765,13,"Southeastern Mixed Forest"
"508749",4171687143,"Asterales","Asteraceae","Liatris","Liatris aspera","","SPECIES","Liatris aspera Michx.","Liatris aspera","","","Oklahoma",35.398663,-94.538872,4,"Southeastern Mixed Forest"
"510464",4171582173,"Asterales","Asteraceae","Helenium","Helenium flexuosum","","SPECIES","Helenium flexuosum Raf.","Helenium flexuosum","","","Oklahoma",35.402249,-94.58358,28,"Southeastern Mixed Forest"
"513475",3952467867,"Asterales","Asteraceae","Conoclinium","Conoclinium coelestinum","","SPECIES","Conoclinium coelestinum (L.) DC.","Conoclinium coelestinum (L.) DC.","(L.) DC.","","",35.486545,-94.559853,25,"Southeastern Mixed Forest"
"514847",3998279500,"Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia","","SPECIES","Ambrosia artemisiifolia L.","Ambrosia artemisiifolia L.","L.","","",35.408201,-94.786655,9,"Southeastern Mixed Forest"
"543964",2901519562,"Asterales","Asteraceae","Symphyotrichum","Symphyotrichum praealtum","","SPECIES","Symphyotrichum praealtum (Poir.) G.L.Nesom","Symphyotrichum praealtum","","","Oklahoma",35.441662,-94.805171,5,"Southeastern Mixed Forest"
"566325",3952692241,"Asterales","Asteraceae","Eupatorium","Eupatorium serotinum","","SPECIES","Eupatorium serotinum Michx.","Eupatorium serotinum Michx.","Michx.","","",35.47125,-94.629412,8,"Southeastern Mixed Forest"
"567261",3951973915,"Asterales","Asteraceae","Eclipta","Eclipta prostrata","","SPECIES","Eclipta prostrata (L.) L.","Eclipta prostrata (L.) L.","(L.) L.","","",35.471058,-94.629508,5,"Southeastern Mixed Forest"
"573036",3956461096,"Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia","","SPECIES","Ambrosia artemisiifolia L.","Ambrosia artemisiifolia L.","L.","","",35.488359,-94.620042,12,"Southeastern Mixed Forest"
